Percentile,Men,Women
1st,70.7,64.4
5th,76.2,70.5
10th,80.3,73.3
15th,83.4,76.1
20th,86.1,78.0
25th,88.3,80.3
40th,93.8,86.0
50th,97.1,90.3
60th,100.,94.6
75th,107.,102.4
80th,110.,105.5
85th,113.,108.8
90th,117.,113.6
95th,125.,120.8
99th,142.,136.6
